Date,hipster,modcloth,gumtree perth
4/01/04,-0.976,-0.817,-0.844
11/01/04,-0.816,-0.817,-0.844
18/01/04,-0.837,-0.817,-0.844
25/01/04,-0.976,-0.817,-0.844
1/02/04,-0.722,-0.817,-0.844
8/02/04,-0.795,-0.817,-0.844
15/02/04,-0.723,-0.817,-0.844
22/02/04,-0.713,-0.817,-0.844
29/02/04,-0.786,-0.817,-0.844
7/03/04,-0.675,-0.817,-0.844
14/03/04,-0.871,-0.817,-0.844
21/03/04,-0.772,-0.817,-0.844
28/03/04,-0.84,-0.817,-0.844
4/04/04,-0.804,-0.817,-0.844
11/04/04,-0.51,-0.817,-0.844
18/04/04,-0.695,-0.817,-0.844
25/04/04,-0.807,-0.817,-0.844
2/05/04,-0.847,-0.817,-0.844
9/05/04,-0.834,-0.817,-0.844
16/05/04,-0.854,-0.817,-0.844
23/05/04,-0.778,-0.817,-0.844
30/05/04,-0.778,-0.817,-0.844
6/06/04,-0.835,-0.817,-0.844
13/06/04,-0.749,-0.817,-0.844
20/06/04,-0.719,-0.817,-0.844
27/06/04,-0.669,-0.817,-0.844
4/07/04,-0.731,-0.817,-0.844
11/07/04,-0.774,-0.817,-0.844
18/07/04,-0.724,-0.817,-0.844
25/07/04,-0.871,-0.817,-0.844
1/08/04,-0.847,-0.817,-0.844
8/08/04,-0.765,-0.817,-0.844
15/08/04,-0.605,-0.817,-0.844
22/08/04,-0.84,-0.817,-0.844
29/08/04,-0.787,-0.817,-0.844
5/09/04,-0.775,-0.817,-0.844
12/09/04,-0.853,-0.817,-0.844
19/09/04,-0.8,-0.817,-0.844
26/09/04,-0.764,-0.817,-0.844
3/10/04,-0.784,-0.817,-0.844
10/10/04,-0.812,-0.817,-0.844
17/10/04,-0.661,-0.817,-0.844
24/10/04,-0.714,-0.817,-0.844
31/10/04,-0.78,-0.817,-0.844
7/11/04,-0.857,-0.817,-0.844
14/11/04,-0.779,-0.817,-0.844
21/11/04,-0.762,-0.817,-0.844
28/11/04,-0.743,-0.817,-0.844
5/12/04,-0.665,-0.817,-0.844
12/12/04,-0.74,-0.817,-0.844
19/12/04,-0.79,-0.817,-0.844
26/12/04,-0.817,-0.817,-0.844
2/01/05,-0.787,-0.817,-0.844
9/01/05,-0.79,-0.817,-0.844
16/01/05,-0.768,-0.817,-0.844
23/01/05,-0.732,-0.817,-0.844
30/01/05,-0.83,-0.817,-0.844
6/02/05,-0.747,-0.817,-0.844
13/02/05,-0.765,-0.817,-0.844
20/02/05,-0.816,-0.817,-0.844
27/02/05,-0.749,-0.817,-0.844
6/03/05,-0.792,-0.817,-0.844
13/03/05,-0.762,-0.817,-0.844
20/03/05,-0.807,-0.817,-0.844
27/03/05,-0.789,-0.817,-0.844
3/04/05,-0.826,-0.817,-0.844
10/04/05,-0.839,-0.817,-0.844
17/04/05,-0.731,-0.817,-0.844
24/04/05,-0.764,-0.817,-0.844
1/05/05,-0.81,-0.817,-0.844
8/05/05,-0.785,-0.817,-0.844
15/05/05,-0.704,-0.817,-0.844
22/05/05,-0.856,-0.817,-0.844
29/05/05,-0.815,-0.817,-0.844
5/06/05,-0.834,-0.817,-0.844
12/06/05,-0.735,-0.817,-0.844
19/06/05,-0.788,-0.817,-0.844
26/06/05,-0.774,-0.817,-0.844
3/07/05,-0.743,-0.817,-0.844
10/07/05,-0.721,-0.817,-0.844
17/07/05,-0.725,-0.817,-0.844
24/07/05,-0.794,-0.817,-0.844
31/07/05,-0.818,-0.817,-0.844
7/08/05,-0.741,-0.817,-0.844
14/08/05,-0.744,-0.817,-0.844
21/08/05,-0.818,-0.817,-0.844
28/08/05,-0.749,-0.817,-0.844
4/09/05,-0.733,-0.817,-0.844
11/09/05,-0.782,-0.817,-0.844
18/09/05,-0.811,-0.817,-0.844
25/09/05,-0.772,-0.817,-0.844
2/10/05,-0.787,-0.817,-0.844
9/10/05,-0.816,-0.817,-0.844
16/10/05,-0.797,-0.817,-0.844
23/10/05,-0.741,-0.817,-0.844
30/10/05,-0.833,-0.817,-0.844
6/11/05,-0.868,-0.817,-0.844
13/11/05,-0.823,-0.817,-0.844
20/11/05,-0.796,-0.817,-0.844
27/11/05,-0.766,-0.817,-0.844
4/12/05,-0.84,-0.817,-0.844
11/12/05,-0.808,-0.817,-0.844
18/12/05,-0.771,-0.817,-0.844
25/12/05,-0.748,-0.817,-0.844
1/01/06,-0.718,-0.817,-0.844
8/01/06,-0.744,-0.817,-0.838
15/01/06,-0.725,-0.817,-0.844
22/01/06,-0.73,-0.817,-0.839
29/01/06,-0.838,-0.817,-0.844
5/02/06,-0.82,-0.817,-0.839
12/02/06,-0.83,-0.817,-0.844
19/02/06,-0.848,-0.817,-0.839
26/02/06,-0.817,-0.817,-0.844
5/03/06,-0.81,-0.817,-0.838
12/03/06,-0.841,-0.817,-0.84
19/03/06,-0.823,-0.817,-0.837
26/03/06,-0.79,-0.817,-0.844
2/04/06,-0.824,-0.817,-0.838
9/04/06,-0.821,-0.817,-0.844
16/04/06,-0.807,-0.817,-0.837
23/04/06,-0.839,-0.817,-0.839
30/04/06,-0.781,-0.817,-0.837
7/05/06,-0.81,-0.817,-0.839
14/05/06,-0.781,-0.817,-0.841
21/05/06,-0.734,-0.817,-0.844
28/05/06,-0.696,-0.817,-0.839
4/06/06,-0.706,-0.817,-0.844
11/06/06,-0.74,-0.817,-0.84
18/06/06,-0.733,-0.817,-0.837
25/06/06,-0.799,-0.817,-0.833
2/07/06,-0.826,-0.817,-0.84
9/07/06,-0.777,-0.817,-0.837
16/07/06,-0.828,-0.817,-0.837
23/07/06,-0.821,-0.817,-0.84
30/07/06,-0.836,-0.817,-0.836
6/08/06,-0.777,-0.817,-0.839
13/08/06,-0.767,-0.817,-0.834
20/08/06,-0.697,-0.817,-0.838
27/08/06,-0.792,-0.817,-0.836
