Date,yellow pages,babelfish,sony ericsson,melway
4/01/04,1.341,0.09,0.695,0.983
11/01/04,1.239,0.256,0.846,0.714
18/01/04,1.022,-0.023,0.558,0.694
25/01/04,0.923,0.188,0.645,1.104
1/02/04,0.904,-0.009,0.513,0.767
8/02/04,0.786,0.338,0.694,1.131
15/02/04,0.729,0.36,0.695,0.985
22/02/04,0.537,-0.07,0.613,0.859
29/02/04,0.534,0.273,0.447,1.286
7/03/04,0.229,0.595,0.898,0.81
14/03/04,0.395,0.379,0.581,0.692
21/03/04,0.284,0.57,0.703,0.706
28/03/04,0.518,0.211,0.571,0.807
4/04/04,0.37,0.242,0.49,0.957
11/04/04,0.521,0.476,0.869,0.51
18/04/04,0.582,0.853,0.493,0.851
25/04/04,0.452,0.595,0.478,0.922
2/05/04,0.552,0.373,0.65,0.612
9/05/04,0.325,0.504,0.557,0.655
16/05/04,0.303,0.494,0.55,0.666
23/05/04,0.263,0.363,0.57,0.796
30/05/04,0.296,0.838,0.491,0.484
6/06/04,0.266,0.643,0.643,0.47
13/06/04,0.357,1.103,1.009,0.719
20/06/04,0.531,0.604,0.892,0.771
27/06/04,0.729,0.418,0.875,0.591
4/07/04,0.751,0.42,0.965,1.094
11/07/04,0.703,0.373,1.082,1.026
18/07/04,0.585,0.479,1.006,1.066
25/07/04,0.45,0.499,0.769,0.558
1/08/04,0.317,0.487,0.721,0.893
8/08/04,0.354,0.46,0.804,0.651
15/08/04,0.346,0.32,0.685,0.748
22/08/04,0.348,0.514,0.741,0.689
29/08/04,0.3,0.833,1.016,0.775
5/09/04,0.364,0.656,1.078,0.675
12/09/04,0.588,0.699,1.017,0.915
19/09/04,0.738,0.595,1.18,0.783
26/09/04,0.861,0.942,1.269,1.024
3/10/04,0.587,0.469,1.287,1.183
10/10/04,0.478,0.594,1.437,1.091
17/10/04,0.32,0.821,1.252,0.699
24/10/04,0.427,0.763,1.211,0.613
31/10/04,0.269,0.565,1.353,0.288
7/11/04,0.353,0.741,1.468,0.483
14/11/04,0.7,0.536,1.733,0.73
21/11/04,0.623,0.749,2.104,0.965
28/11/04,0.743,0.51,2.106,1.049
5/12/04,0.8,0.342,2.701,1.09
12/12/04,0.997,0.812,2.205,1.346
19/12/04,0.673,0.816,2.609,0.825
26/12/04,0.48,0.778,2.44,0.562
2/01/05,0.823,0.496,1.709,0.626
9/01/05,0.91,0.875,1.335,0.758
16/01/05,0.991,0.455,1.272,0.824
23/01/05,0.797,0.246,1.057,1.023
30/01/05,0.766,0.717,0.963,1.221
6/02/05,0.843,0.692,0.987,0.591
13/02/05,0.593,0.725,0.87,0.762
20/02/05,0.817,0.682,0.978,1.095
27/02/05,0.782,0.732,0.98,0.746
6/03/05,0.729,0.747,0.824,0.632
13/03/05,0.602,0.886,0.725,0.872
20/03/05,0.473,0.655,0.69,0.902
27/03/05,0.699,0.545,0.515,0.799
3/04/05,0.685,0.668,0.691,0.939
10/04/05,0.88,0.486,0.552,0.799
17/04/05,0.79,0.558,0.628,0.814
24/04/05,0.657,0.87,0.53,0.745
1/05/05,0.84,0.882,0.491,0.661
8/05/05,0.644,1.125,0.403,0.713
15/05/05,0.617,1.153,0.644,0.592
22/05/05,0.507,0.827,0.82,0.473
29/05/05,0.517,1.089,0.713,0.714
5/06/05,0.536,1.05,0.799,0.744
12/06/05,0.53,0.931,0.885,0.499
19/06/05,0.662,1.033,0.583,0.75
26/06/05,0.74,0.989,0.846,0.878
3/07/05,0.914,1.004,1.094,0.819
10/07/05,0.833,1.102,1.3,1.035
17/07/05,0.73,1.124,1.193,0.924
24/07/05,0.63,0.881,1.11,0.946
31/07/05,0.612,1.076,1.408,0.901
7/08/05,0.588,0.998,1.09,1.209
14/08/05,0.622,1.038,0.965,1.019
21/08/05,0.729,0.963,1.172,0.814
28/08/05,0.751,1.092,1.17,1.003
4/09/05,0.781,1.004,1.055,0.873
11/09/05,0.852,1.193,1.068,1.013
18/09/05,0.914,0.82,1.104,1.043
25/09/05,1.021,0.885,1.138,1.035
2/10/05,0.901,1.021,0.86,1.002
9/10/05,0.778,1.262,0.987,1.007
16/10/05,0.791,0.901,0.85,1.1
23/10/05,1.224,0.879,0.992,0.705
30/10/05,0.847,1.061,0.775,0.593
6/11/05,0.946,0.991,1.15,0.943
13/11/05,1.115,0.956,1.019,1.312
20/11/05,1.12,0.989,1.084,1.213
27/11/05,1.167,0.712,1.257,1.311
4/12/05,1.304,0.834,1.322,1.515
11/12/05,1.452,0.989,1.259,1.398
18/12/05,1.326,1.09,1.471,1.26
25/12/05,0.753,0.876,1.362,0.825
1/01/06,1.24,0.847,1.285,0.823
8/01/06,1.384,0.97,1.136,1.201
15/01/06,1.278,0.716,1.131,1.148
22/01/06,1.149,0.997,0.866,1.03
29/01/06,1.421,0.883,0.95,0.988
5/02/06,1.308,0.853,0.891,1.014
12/02/06,0.96,0.924,0.857,1.464
