datetime,Flagstaff Station,Southern Cross Station,Flinders St Station Underpass
2012-01-01 00:00:00,157.0,325.0,3726.0
2012-01-01 01:00:00,105.0,246.0,3082.0
2012-01-01 02:00:00,39.0,131.0,2784.0
2012-01-01 03:00:00,34.0,135.0,1915.0
2012-01-01 04:00:00,26.0,56.0,959.0
2012-01-01 05:00:00,21.0,15.0,485.0
2012-01-01 06:00:00,15.0,27.0,306.0
2012-01-01 07:00:00,20.0,24.0,224.0
2012-01-01 08:00:00,7.0,18.0,262.0
2012-01-01 09:00:00,12.0,54.0,371.0
2012-01-01 10:00:00,33.0,52.0,643.0
2012-01-01 11:00:00,18.0,59.0,917.0
2012-01-01 12:00:00,20.0,63.0,833.0
2012-01-01 13:00:00,43.0,46.0,1065.0
2012-01-01 14:00:00,48.0,68.0,1007.0
2012-01-01 15:00:00,36.0,65.0,1044.0
2012-01-01 16:00:00,37.0,74.0,1086.0
2012-01-01 17:00:00,35.0,64.0,1041.0
2012-01-01 18:00:00,49.0,62.0,969.0
2012-01-01 19:00:00,51.0,29.0,883.0
2012-01-01 20:00:00,60.0,50.0,852.0
2012-01-01 21:00:00,23.0,49.0,953.0
2012-01-01 22:00:00,31.0,44.0,791.0
2012-01-01 23:00:00,22.0,36.0,790.0
2012-01-02 00:00:00,23.0,25.0,294.0
2012-01-02 01:00:00,7.0,11.0,140.0
2012-01-02 02:00:00,4.0,4.0,56.0
2012-01-02 03:00:00,12.0,5.0,47.0
2012-01-02 04:00:00,6.0,0.0,76.0
2012-01-02 05:00:00,6.0,17.0,101.0
2012-01-02 06:00:00,7.0,12.0,76.0
2012-01-02 07:00:00,10.0,22.0,142.0
2012-01-02 08:00:00,11.0,35.0,217.0
2012-01-02 09:00:00,40.0,51.0,474.0
2012-01-02 10:00:00,33.0,29.0,627.0
2012-01-02 11:00:00,21.0,41.0,769.0
2012-01-02 12:00:00,31.0,67.0,822.0
2012-01-02 13:00:00,29.0,48.0,929.0
2012-01-02 14:00:00,41.0,60.0,1032.0
2012-01-02 15:00:00,41.0,44.0,1021.0
2012-01-02 16:00:00,43.0,47.0,1179.0
2012-01-02 17:00:00,26.0,76.0,899.0
2012-01-02 18:00:00,30.0,94.0,770.0
2012-01-02 19:00:00,32.0,73.0,746.0
2012-01-02 20:00:00,24.0,43.0,906.0
2012-01-02 21:00:00,59.0,46.0,870.0
2012-01-02 22:00:00,39.0,62.0,751.0
2012-01-02 23:00:00,22.0,15.0,542.0
2012-01-03 00:00:00,13.0,15.0,266.0
2012-01-03 01:00:00,11.0,0.0,99.0
2012-01-03 02:00:00,4.0,3.0,68.0
2012-01-03 03:00:00,0.0,5.0,41.0
2012-01-03 04:00:00,19.0,3.0,45.0
2012-01-03 05:00:00,42.0,21.0,92.0
2012-01-03 06:00:00,295.0,136.0,267.0
2012-01-03 07:00:00,1124.0,564.0,885.0
2012-01-03 08:00:00,2664.0,1123.0,1846.0
2012-01-03 09:00:00,953.0,622.0,1119.0
2012-01-03 10:00:00,392.0,212.0,902.0
2012-01-03 11:00:00,298.0,208.0,1009.0
2012-01-03 12:00:00,511.0,640.0,1643.0
2012-01-03 13:00:00,561.0,514.0,1762.0
2012-01-03 14:00:00,374.0,207.0,1561.0
2012-01-03 15:00:00,544.0,244.0,1590.0
2012-01-03 16:00:00,1192.0,787.0,2107.0
2012-01-03 17:00:00,2084.0,1233.0,2802.0
2012-01-03 18:00:00,627.0,373.0,1586.0
2012-01-03 19:00:00,192.0,128.0,954.0
2012-01-03 20:00:00,113.0,91.0,809.0
2012-01-03 21:00:00,67.0,69.0,845.0
2012-01-03 22:00:00,55.0,37.0,560.0
2012-01-03 23:00:00,51.0,29.0,469.0
2012-01-04 00:00:00,20.0,14.0,239.0
2012-01-04 01:00:00,7.0,20.0,61.0
2012-01-04 02:00:00,11.0,11.0,42.0
2012-01-04 03:00:00,5.0,2.0,17.0
2012-01-04 04:00:00,2.0,4.0,50.0
2012-01-04 05:00:00,37.0,23.0,104.0
2012-01-04 06:00:00,336.0,143.0,307.0
2012-01-04 07:00:00,1111.0,569.0,776.0
2012-01-04 08:00:00,3205.0,1324.0,2070.0
2012-01-04 09:00:00,1163.0,667.0,1137.0
2012-01-04 10:00:00,406.0,217.0,870.0
2012-01-04 11:00:00,358.0,261.0,1239.0
2012-01-04 12:00:00,637.0,685.0,2039.0
2012-01-04 13:00:00,479.0,656.0,2206.0
2012-01-04 14:00:00,425.0,310.0,1871.0
2012-01-04 15:00:00,563.0,327.0,1943.0
2012-01-04 16:00:00,1207.0,884.0,2431.0
2012-01-04 17:00:00,2342.0,1474.0,3283.0
2012-01-04 18:00:00,810.0,509.0,1804.0
2012-01-04 19:00:00,289.0,170.0,1285.0
2012-01-04 20:00:00,169.0,89.0,928.0
2012-01-04 21:00:00,114.0,69.0,871.0
2012-01-04 22:00:00,80.0,37.0,798.0
2012-01-04 23:00:00,50.0,36.0,514.0
2012-01-05 00:00:00,22.0,19.0,188.0
2012-01-05 01:00:00,7.0,8.0,72.0
2012-01-05 02:00:00,3.0,3.0,55.0
2012-01-05 03:00:00,1.0,1.0,24.0
2012-01-05 04:00:00,5.0,2.0,44.0
2012-01-05 05:00:00,41.0,20.0,96.0
2012-01-05 06:00:00,291.0,153.0,283.0
2012-01-05 07:00:00,1066.0,629.0,902.0
2012-01-05 08:00:00,2998.0,1492.0,2030.0
2012-01-05 09:00:00,1317.0,684.0,1271.0
2012-01-05 10:00:00,524.0,253.0,1161.0
2012-01-05 11:00:00,465.0,279.0,1347.0
2012-01-05 12:00:00,712.0,755.0,2150.0
2012-01-05 13:00:00,670.0,650.0,2289.0
2012-01-05 14:00:00,448.0,313.0,1954.0
2012-01-05 15:00:00,556.0,316.0,2018.0
2012-01-05 16:00:00,1269.0,891.0,2197.0
2012-01-05 17:00:00,2270.0,1451.0,3295.0
2012-01-05 18:00:00,773.0,511.0,1983.0
2012-01-05 19:00:00,239.0,193.0,1301.0
2012-01-05 20:00:00,146.0,104.0,1041.0
2012-01-05 21:00:00,94.0,70.0,912.0
2012-01-05 22:00:00,64.0,64.0,694.0
2012-01-05 23:00:00,40.0,20.0,503.0
2012-01-06 00:00:00,31.0,15.0,219.0
2012-01-06 01:00:00,12.0,3.0,72.0
2012-01-06 02:00:00,7.0,3.0,54.0
2012-01-06 03:00:00,2.0,3.0,36.0
2012-01-06 04:00:00,1.0,1.0,49.0
2012-01-06 05:00:00,43.0,25.0,94.0
