Date,hipster,modcloth,gumtree perth
2004-01-04,-0.976,-0.817,-0.844
2004-01-11,-0.816,-0.817,-0.844
2004-01-18,-0.837,-0.817,-0.844
2004-01-25,-0.976,-0.817,-0.844
2004-02-01,-0.722,-0.817,-0.844
2004-02-08,-0.795,-0.817,-0.844
2004-02-15,-0.723,-0.817,-0.844
2004-02-22,-0.713,-0.817,-0.844
2004-02-29,-0.786,-0.817,-0.844
2004-03-07,-0.675,-0.817,-0.844
2004-03-14,-0.871,-0.817,-0.844
2004-03-21,-0.772,-0.817,-0.844
2004-03-28,-0.84,-0.817,-0.844
2004-04-04,-0.804,-0.817,-0.844
2004-04-11,-0.51,-0.817,-0.844
2004-04-18,-0.695,-0.817,-0.844
2004-04-25,-0.807,-0.817,-0.844
2004-05-02,-0.847,-0.817,-0.844
2004-05-09,-0.834,-0.817,-0.844
2004-05-16,-0.854,-0.817,-0.844
2004-05-23,-0.778,-0.817,-0.844
2004-05-30,-0.778,-0.817,-0.844
2004-06-06,-0.835,-0.817,-0.844
2004-06-13,-0.749,-0.817,-0.844
2004-06-20,-0.719,-0.817,-0.844
2004-06-27,-0.669,-0.817,-0.844
2004-07-04,-0.731,-0.817,-0.844
2004-07-11,-0.774,-0.817,-0.844
2004-07-18,-0.724,-0.817,-0.844
2004-07-25,-0.871,-0.817,-0.844
2004-08-01,-0.847,-0.817,-0.844
2004-08-08,-0.765,-0.817,-0.844
2004-08-15,-0.605,-0.817,-0.844
2004-08-22,-0.84,-0.817,-0.844
2004-08-29,-0.787,-0.817,-0.844
2004-09-05,-0.775,-0.817,-0.844
2004-09-12,-0.853,-0.817,-0.844
2004-09-19,-0.8,-0.817,-0.844
2004-09-26,-0.764,-0.817,-0.844
2004-10-03,-0.784,-0.817,-0.844
2004-10-10,-0.812,-0.817,-0.844
2004-10-17,-0.661,-0.817,-0.844
2004-10-24,-0.714,-0.817,-0.844
2004-10-31,-0.78,-0.817,-0.844
2004-11-07,-0.857,-0.817,-0.844
2004-11-14,-0.779,-0.817,-0.844
2004-11-21,-0.762,-0.817,-0.844
2004-11-28,-0.743,-0.817,-0.844
2004-12-05,-0.665,-0.817,-0.844
2004-12-12,-0.74,-0.817,-0.844
2004-12-19,-0.79,-0.817,-0.844
2004-12-26,-0.817,-0.817,-0.844
2005-01-02,-0.787,-0.817,-0.844
2005-01-09,-0.79,-0.817,-0.844
2005-01-16,-0.768,-0.817,-0.844
2005-01-23,-0.732,-0.817,-0.844
2005-01-30,-0.83,-0.817,-0.844
2005-02-06,-0.747,-0.817,-0.844
2005-02-13,-0.765,-0.817,-0.844
