Date,yellow pages,windows installer,techno
2004-01-04,1.341,0.668,0.871
2004-01-11,1.239,1,1.122
2004-01-18,1.022,0.768,1.053
2004-01-25,0.923,0.943,0.807
2004-02-01,0.904,0.799,0.612
2004-02-08,0.786,0.613,0.614
2004-02-15,0.729,0.956,0.391
2004-02-22,0.537,0.667,1.124
2004-02-29,0.534,1.415,1.078
2004-03-07,0.229,0.22,1.918
2004-03-14,0.395,1.114,1.011
2004-03-21,0.284,0.543,1.027
2004-03-28,0.518,1.048,0.411
2004-04-04,0.37,1.475,0.763
2004-04-11,0.521,0.301,-0.27
2004-04-18,0.582,0.93,0.339
2004-04-25,0.452,0.859,0.846
2004-05-02,0.552,1.054,0.621
2004-05-09,0.325,0.866,0.531
2004-05-16,0.303,0.355,1.105
2004-05-23,0.263,0.354,0.651
2004-05-30,0.296,0.473,0.735
2004-06-06,0.266,0.337,0.724
2004-06-13,0.357,0.614,0.55
2004-06-20,0.531,0.892,0.297
2004-06-27,0.729,1.547,0.649
2004-07-04,0.751,1.583,0.336
2004-07-11,0.703,1.459,0.879
2004-07-18,0.585,0.962,0.512
2004-07-25,0.45,1.12,0.741
2004-08-01,0.317,0.864,0.851
2004-08-08,0.354,0.321,0.347
2004-08-15,0.346,0.692,0.557
2004-08-22,0.348,0.553,0.667
2004-08-29,0.3,0.451,0.728
2004-09-05,0.364,1.238,0.652
2004-09-12,0.588,0.976,0.672
2004-09-19,0.738,0.952,0.664
2004-09-26,0.861,1.021,0.741
2004-10-03,0.587,1.28,0.44
2004-10-10,0.478,0.897,0.923
2004-10-17,0.32,0.745,0.889
2004-10-24,0.427,0.289,0.706
2004-10-31,0.269,0.846,0.698
2004-11-07,0.353,0.411,0.986
2004-11-14,0.7,0.594,0.503
2004-11-21,0.623,0.653,0.444
2004-11-28,0.743,0.957,0.741
2004-12-05,0.8,0.859,0.858
2004-12-12,0.997,0.594,1.767
2004-12-19,0.673,1.393,0.758
2004-12-26,0.48,-0.203,1.885
2005-01-02,0.823,1.161,0.681
2005-01-09,0.91,0.637,0.477
2005-01-16,0.991,0.398,0.294
2005-01-23,0.797,0.284,1.152
2005-01-30,0.766,0.889,0.726
2005-02-06,0.843,0.602,0.736
2005-02-13,0.593,0.661,0.781
2005-02-20,0.817,0.274,0.587
2005-02-27,0.782,0.184,0.889
2005-03-06,0.729,0.427,0.632
2005-03-13,0.602,0.206,0.5
2005-03-20,0.473,0.354,1.115
2005-03-27,0.699,-0.088,0.712
2005-04-03,0.685,0.048,0.818
2005-04-10,0.88,0.707,0.216
2005-04-17,0.79,0.608,0.857
2005-04-24,0.657,0.395,0.67
2005-05-01,0.84,0.165,0.564
2005-05-08,0.644,0.38,0.493
2005-05-15,0.617,0.969,0.25
2005-05-22,0.507,0.621,0.522
2005-05-29,0.517,0.186,0.783
2005-06-05,0.536,0.425,0.776
2005-06-12,0.53,0.36,0.709
2005-06-19,0.662,0.955,0.965
2005-06-26,0.74,0.932,0.614
2005-07-03,0.914,0.54,0.704
2005-07-10,0.833,0.794,0.607
2005-07-17,0.73,0.265,0.361
2005-07-24,0.63,0.504,0.328
2005-07-31,0.612,0.874,0.87
2005-08-07,0.588,0.633,0.365
2005-08-14,0.622,0.373,0.79
2005-08-21,0.729,-0.045,0.458
2005-08-28,0.751,0.041,0.3
2005-09-04,0.781,0.377,0.545
2005-09-11,0.852,0.458,0.479
2005-09-18,0.914,0.43,0.433
2005-09-25,1.021,1.019,0.621
2005-10-02,0.901,0.092,0.723
2005-10-09,0.778,0.153,0.573
2005-10-16,0.791,0.527,0.569
2005-10-23,1.224,0.268,0.268
2005-10-30,0.847,0.339,0.377
2005-11-06,0.946,0.526,0.188
2005-11-13,1.115,0.245,0.544
2005-11-20,1.12,0.954,0.218
2005-11-27,1.167,1.119,0.659
